Date,Temperature(F)

2020‐03‐04 18:06:52,75.2*F
2020‐03‐04 18:06:57,75.2*F
2020‐03‐04 18:07:00,75.2*F
2020‐03‐04 18:07:03,75.2*F
2020‐03‐04 18:14:40,75.2*F
2020‐03‐04 18:14:52,73.4*F
2020‐03‐04 18:15:05,73.4*F
2020‐03‐04 18:15:15,73.4*F
